# cointelegraph_historical.tsv - Historical article data from Cointelegraph.com.
#
# This is a tab-separated value file (TSV). Format notes:
#
# - Ignore blank lines.
# - Ignore lines beginning with "#".
# - Columns are:
#    1. Article slug - replace ??? with www.cointelegraph.com/news/???.html for
#    the article URL.
#    2. Publish date - when the article was published
#
3_words_you_didn_t_expect_to_see_together_bitcoin_castle_estonia	2014-03-11T14:35:23
40000-accounts-of-top-uk-bank-breached-china-approves-cyber-law-to-counter-threats	2016-11-08T14:00:00
404-forever-the-present-and-future-of-internet-censorship	2015-10-02T16:07:00
4200-bitcoin-would-cost-7000-at-pre-2017-market-dominance-alistair-milne	2017-08-15T09:51:27
4-major-banks-confirm-they-are-building-bitcoin-like-digital-currency	2016-08-24T12:05:00
4-major-chinese-bitcoin-exchanges-add-fees-game-changer-for-global-trading	2017-01-23T16:35:00
4-reasons-bitcoin-usage-could-explode-in-thailand	2016-09-17T18:25:00
4-things-that-can-push-bitcoin-price-to-5000-and-beyond	2017-10-10T10:15:00
50000-bitcoin-could-happen-if-this-isnt-a-bubble-but-an-s-curve	2017-09-28T21:35:00
50000-more-outlets-for-instant-cash-bitcoin-purchases-in-canada-australia-and-europe	2016-11-15T13:00:00
50000-prize-hackaton-starts-101016-ethercamp-releases-its-tour-guide	2016-08-17T15:32:00
500-million-users-affected-every-month-by-pirates-to-mine-cryptocurrency	2017-10-17T12:10:00
50_cent_hip_hops_on_bitcoin_bandwagon	2014-06-04T08:43:46
50-cent-makes-millions-selling-album-for-bitcoin	2018-01-24T23:06:00
50-of-us-retailers-certain-they-are-targeted-by-hackers-survey	2017-07-25T09:30:00
50_to_60_of_bitcoin_transactions_made_on_gambling_sites	2014-04-08T08:57:25
527-us-banks-have-failed-since-late-2008-but-the-bitcoin-protocol-still-hasnt-been-hacked	2015-05-15T17:10:12
530-million-in-xem-stolen-from-coincheck-can-be-traced-nem-team-confirms	2018-01-27T23:42:00
5_best_cities_for_bitcoin_users_in_america	2013-12-31T11:39:00
5-cities-that-let-you-buy-real-estate-with-bitcoin	2017-10-26T16:30:00
5-easy-ways-to-bring-bitcoin-and-your-business-together	2015-08-14T11:32:10
5-fintech-companies-to-shape-the-future-of-money	2016-07-17T10:10:00
5k-forever-bitcoin-price-surges-to-claim-new-all-time-highs	2017-10-12T08:15:00
5-major-reasons-why-monero-has-spiked	2016-09-02T09:44:00
5-mln-household-bills-paid-in-australia-through-bitcoin-payment-gateway	2017-05-08T09:30:00
5-must-dos-for-any-bitcoin-business	2015-06-08T11:48:21
5-public-figures-who-changed-their-minds-about-bitcoin	2014-12-18T17:22:00
5-reasons-why-bitcoin-price-is-not-tulip-mania-nasdaqcom	2017-10-26T10:31:00
5-reasons-why-bitcoin-value-must-increase-in-future	2016-07-24T10:20:00
5-reasons-why-you-should-add-bitcoins-into-your-retirement-portfolio	2017-06-21T15:50:00
5-russian-banks-cyber-attacked-in-bitcoin-extortion-plot	2015-10-01T18:48:39
5-simple-tips-to-stay-secure-in-the-wild-west-of-bitcoin	2017-11-06T12:05:00
5-tips-for-new-bitcoin-investors	2017-11-23T10:21:00
5-tools-that-may-replace-tor-as-crackdown-on-encryption-nears	2016-09-06T11:00:00
6000-merchants-in-romania-accept-bitcoin-overnight	2014-12-06T11:05:38
60-bln-alipay-to-adopt-blockchain-serving-two-bln-users	2017-01-22T12:14:00
64-of-germans-aware-of-bitcoin-says-it-association-bitkom	2018-02-18T01:48:00
65-of-banks-in-the-us-failed-2017-in-online-security-test-by-ota	2017-07-06T19:54:00
6-cards-battle-for-bitcoin-supremacy-bitcoin-debit-card-comparison-test	2016-08-13T12:54:00
6k-bitcoin-price-almost-comes-true-as-forks-flounder-investors-hold	2017-10-13T08:55:00
6-more-donts-for-bitcoin-startups	2015-07-16T16:17:16
6-rising-fintech-startups	2015-05-22T10:53:59
6-unconventional-uses-of-the-blockchain	2015-05-30T09:36:05
7000-new-btms-in-canada-and-australia	2016-07-28T16:02:00
711-the-day-bitcoin-prices-will-rocket-or-start-of-a-crash	2016-05-05T12:50:00
7500_btc_hidden_in_a_dump	2013-11-27T17:45:00
75-percent-increase-bitcoin-cash-profits-big-from-btc-uncertainty	2017-08-18T09:35:00
78-bitcoin-hashrate-comes-from-segwit-supporting-miners-barry-silbert	2017-05-18T10:15:00
7-global-banks-partner-up-to-develop-blockchain-based-syndicated-loan-market	2017-10-07T21:05:00
7k-bitcoin-traders-gaze-at-moon-as-analyst-predicts-5k-correction	2017-11-02T08:25:00
80-of-all-bitcoins-already-mined-only-42-million-coins-left-until-supply-cap	2018-01-15T13:15:00
80-percent-of-chinese-have-never-heard-of-bitcoin-billionaire-investor-charles-xue	2017-08-12T16:02:48
82000-unconfirmed-bitcoin-transactions-in-a-day-necessity-of-proportional-fees-obvious	2017-04-30T13:30:00
83-percent-of-poll-respondents-support-segregated-witness-viabtc	2017-05-08T12:25:00
8-best-sources-to-study-blockchain-technology	2017-08-11T13:04:13
8-leading-bitcoin-companies-pledge-support-for-bip101-bitcoin-exchange-rate-falls-below-200	2015-08-25T13:09:00
8-major-bitcoin-debit-cards-how-private-and-anonymous-are-they	2016-08-20T11:27:00
8-out-of-10-pcs-vulnerable-forbes-confirms-guptas-intel-suspicions	2015-04-24T10:33:02
90-percent-of-altcoins-wont-survive-but-bitcoin-is-sustainable	2017-02-16T15:41:00
90-percent-of-top-execs-expect-blockchain-to-transform-markets-in-five-years	2017-02-13T13:31:00
94-year-old-berkshire-hathaway-vp-its-disgusting-people-buy-bitcoin	2018-02-15T12:35:00
9-banking-superpowers-unite-behind-bitcoins-blockchain-tech-op-ed	2015-09-16T12:42:00
9-ways-to-buy-bitcoin-without-a-bank-account	2015-07-07T17:53:00
a-basic-bitchs-guide-to-bitcoin	2016-04-19T17:33:00
abibas-rebok-samcung-how-blockchain-iot-can-help-beat-counterfeiters	2016-12-06T17:09:00
abkhazia-will-create-own-crypto-and-abandon-normal-money	2017-10-17T18:40:00
abra-users-can-now-buy-bitcoin-with-american-express-card	2017-07-26T16:20:00
a-bridge-between-bitcoin-and-traditional-finances-is-it-possible	2015-12-16T10:26:00
